epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,454.385,0.70673,0.5676,1.1973,0.89021,0.90661,0.94294,0.74005,0.88264,0.58697,1.477,0.000742625,0.000742625,0.000742625
43,464.685,0.70772,0.56513,1.19618,0.76771,0.88258,0.91093,0.70732,0.92618,0.83318,1.53591,0.00073025,0.00073025,0.00073025
44,475.262,0.69718,0.53279,1.18391,0.8823,0.74781,0.89185,0.7061,0.8867,0.69846,1.49974,0.000717875,0.000717875,0.000717875
45,485.547,0.69281,0.53471,1.1934,0.87,0.87983,0.91782,0.72219,0.89297,0.63001,1.53597,0.0007055,0.0007055,0.0007055
46,495.818,0.66092,0.51578,1.1717,0.83382,0.87755,0.9089,0.7018,0.90798,0.66925,1.55276,0.000693125,0.000693125,0.000693125
47,505.982,0.67722,0.51561,1.18814,0.84551,0.84635,0.92455,0.73108,0.88025,0.71064,1.51136,0.00068075,0.00068075,0.00068075
48,516.706,0.67475,0.53945,1.18112,0.83326,0.83839,0.92011,0.72344,0.87379,0.69877,1.50987,0.000668375,0.000668375,0.000668375
49,527.321,0.65479,0.51715,1.16525,0.81457,0.86406,0.93991,0.75282,0.84981,0.72729,1.48949,0.000656,0.000656,0.000656
50,537.59,0.67755,0.52272,1.18436,0.80846,0.91078,0.93215,0.73647,0.87736,0.59745,1.54518,0.000643625,0.000643625,0.000643625
51,547.878,0.66935,0.52461,1.18011,0.87591,0.83208,0.92048,0.72151,0.91,0.67555,1.61679,0.00063125,0.00063125,0.00063125
52,558.667,0.65945,0.51283,1.16926,0.91515,0.8156,0.93569,0.7283,0.91635,0.61066,1.58659,0.000618875,0.000618875,0.000618875
53,569.24,0.64608,0.49236,1.16426,0.88037,0.90098,0.94545,0.73601,0.91361,0.56436,1.57083,0.0006065,0.0006065,0.0006065
54,579.61,0.65338,0.56968,1.17367,0.90104,0.81064,0.91946,0.71526,0.90211,0.65867,1.55003,0.000594125,0.000594125,0.000594125
55,589.886,0.64625,0.49657,1.15729,0.79335,0.89724,0.89803,0.69724,0.91413,0.69538,1.57645,0.00058175,0.00058175,0.00058175
56,600.199,0.63902,0.47878,1.15795,0.92888,0.81855,0.95339,0.75431,0.91396,0.6071,1.57794,0.000569375,0.000569375,0.000569375
57,610.462,0.64399,0.49915,1.15942,0.89144,0.83014,0.89845,0.68905,0.91592,0.72872,1.56354,0.000557,0.000557,0.000557
58,620.648,0.65243,0.49922,1.16901,0.83193,0.94793,0.93996,0.73351,0.91458,0.57611,1.58659,0.000544625,0.000544625,0.000544625
59,630.819,0.64956,0.4877,1.17051,0.83951,0.859,0.92414,0.72701,0.88452,0.69566,1.52193,0.00053225,0.00053225,0.00053225
60,641.064,0.64103,0.49307,1.15698,0.82187,0.90689,0.93292,0.73503,0.88361,0.64209,1.52367,0.000519875,0.000519875,0.000519875
61,651.372,0.62274,0.47805,1.14382,0.85624,0.85706,0.92598,0.72465,0.90901,0.61176,1.59781,0.0005075,0.0005075,0.0005075
62,661.626,0.62205,0.46739,1.13982,0.79386,0.86287,0.93031,0.74372,0.89854,0.68041,1.58975,0.000495125,0.000495125,0.000495125
63,671.855,0.6238,0.49235,1.14224,0.86506,0.84649,0.91441,0.71039,0.92899,0.66665,1.58812,0.00048275,0.00048275,0.00048275
64,682.186,0.59865,0.44739,1.12706,0.86918,0.88219,0.91473,0.71803,0.88836,0.61666,1.5775,0.000470375,0.000470375,0.000470375
65,692.448,0.62615,0.45105,1.13466,0.8244,0.8589,0.91454,0.71003,0.92158,0.73843,1.61962,0.000458,0.000458,0.000458
66,702.746,0.60025,0.42963,1.1337,0.88643,0.87053,0.93907,0.73722,0.90143,0.59445,1.62419,0.000445625,0.000445625,0.000445625
67,712.97,0.60123,0.45602,1.12819,0.85918,0.87891,0.90655,0.70966,0.93282,0.65039,1.63765,0.00043325,0.00043325,0.00043325
68,723.208,0.59222,0.44242,1.11741,0.88517,0.84733,0.8935,0.70357,0.92482,0.66961,1.62014,0.000420875,0.000420875,0.000420875
69,733.462,0.60464,0.45071,1.13168,0.85477,0.86973,0.9313,0.72684,0.88904,0.62021,1.54797,0.0004085,0.0004085,0.0004085
70,743.668,0.58786,0.44427,1.12384,0.88644,0.86356,0.9439,0.74143,0.87398,0.60015,1.54237,0.000396125,0.000396125,0.000396125
71,753.834,0.59165,0.44493,1.12655,0.90289,0.85958,0.94722,0.74705,0.88929,0.61214,1.57814,0.00038375,0.00038375,0.00038375
72,764.152,0.56631,0.42978,1.11039,0.93683,0.87799,0.97144,0.77095,0.87859,0.52175,1.60451,0.000371375,0.000371375,0.000371375
73,774.606,0.58538,0.42891,1.11713,0.89162,0.89282,0.95379,0.75996,0.88173,0.54127,1.54971,0.000359,0.000359,0.000359
74,785.112,0.57824,0.41664,1.11318,0.82953,0.90999,0.94507,0.75237,0.86913,0.57283,1.53929,0.000346625,0.000346625,0.000346625
75,795.464,0.57493,0.4197,1.11182,0.81811,0.9052,0.94147,0.75527,0.87857,0.62533,1.57607,0.00033425,0.00033425,0.00033425
